sample	region	M1	MU1
MEDAL-115_PLA_A	17:37764215-37764405	303	5577
MEDAL-115_PLA_A	17:41984316-41984380	34	2113
MEDAL-115_PLA_A	17:46696726-46696998	91	6876
MEDAL-115_PLA_A	17:46800612-46800751	180	5360
MEDAL-115_PLA_A	17:46824579-46824746	130	6174
MEDAL-115_PLA_A	17:47210434-47210643	841	15265
MEDAL-115_PLA_A	17:48042446-48042618	239	10430
MEDAL-115_PLA_A	17:54755960-54756176	414	20340
MEDAL-115_PLA_A	17:72352786-72353070	851	20380
MEDAL-115_PLA_A	17:74964938-74965105	155	4824
MEDAL-115_PLA_A	17:77179280-77179408	37	2462
MEDAL-115_PLA_A	17:77721474-77721686	329	11182
MEDAL-115_PLA_A	17:77750839-77751095	385	8465
MEDAL-115_PLA_A	17:80329984-80330047	393	1643
MEDAL-115_PLA_A	18:904713-904859	307	6304
MEDAL-115_PLA_A	18:7116848-7116890	38	2180
MEDAL-115_PLA_A	18:7117904-7118231	379	9778
MEDAL-115_PLA_A	18:25755892-25756111	48	10175
MEDAL-115_PLA_A	18:28621720-28621817	133	2264
MEDAL-115_PLA_A	18:28622364-28622641	235	14504
MEDAL-115_PLA_A	18:31020355-31020676	261	16055
MEDAL-115_PLA_A	18:31803473-31803632	75	2514
MEDAL-115_PLA_A	18:49866356-49866418	58	1882
MEDAL-115_PLA_A	18:53257014-53257346	258	17996
MEDAL-115_PLA_A	18:56935035-56935316	335	10595
MEDAL-115_PLA_A	18:70210277-70210439	144	10479
MEDAL-115_PLA_A	18:70211009-70211113	84	5838
MEDAL-115_PLA_A	18:73167996-73168041	2	740
MEDAL-115_PLA_A	18:74961552-74961618	42	1885
MEDAL-115_PLA_A	18:74962307-74962537	235	13940
MEDAL-115_PLA_A	19:3869002-3869268	1394	12282
MEDAL-115_PLA_A	19:11592633-11592934	663	16726
MEDAL-115_PLA_A	19:15695265-15695473	95	5558
MEDAL-115_PLA_A	19:18901467-18901602	194	5464
MEDAL-115_PLA_A	19:22610695-22610709	23	943
MEDAL-115_PLA_A	19:30017654-30017835	74	5614
MEDAL-115_PLA_A	19:30866108-30866313	91	6473
MEDAL-115_PLA_A	19:34113232-34113416	354	15284
MEDAL-115_PLA_A	19:34973472-34973689	161	8906
MEDAL-115_PLA_A	19:36523808-36523970	326	9736
MEDAL-115_PLA_A	19:37464264-37464786	560	16338
MEDAL-115_PLA_A	19:37959682-37959787	33	346
MEDAL-115_PLA_A	19:38308091-38308228	186	5896
MEDAL-115_PLA_A	19:38879539-38879724	66	3771
MEDAL-115_PLA_A	19:40005552-40005617	131	1942
MEDAL-115_PLA_A	19:44405813-44405912	221	4364
MEDAL-115_PLA_A	19:44952412-44952578	220	8167
MEDAL-115_PLA_A	19:50833916-50833991	16	1345
MEDAL-115_PLA_A	19:51321184-51321401	477	5859
MEDAL-115_PLA_A	19:51568518-51568696	57	4157
MEDAL-115_PLA_A	19:53635941-53636023	39	1481
MEDAL-115_PLA_A	19:54483360-54483577	102	8694
MEDAL-115_PLA_A	19:56879758-56879889	35	4147
MEDAL-115_PLA_A	19:57683717-57683891	213	4599
MEDAL-115_PLA_A	19:58095305-58095430	25	1547
MEDAL-115_PLA_A	19:58220387-58220542	215	13835
MEDAL-115_PLA_A	19:58609241-58609533	83	7228
MEDAL-115_PLA_A	19:58661905-58662086	12	5073
MEDAL-115_PLA_A	19:58951360-58951976	288	27487
MEDAL-115_PLA_A	2:5833347-5833487	338	7983
MEDAL-115_PLA_A	2:11052076-11052256	95	12513
MEDAL-115_PLA_A	2:27070430-27070633	272	9718
MEDAL-115_PLA_A	2:27530377-27530538	764	8055
MEDAL-115_PLA_A	2:30143580-30143911	510	12663
MEDAL-115_PLA_A	2:39187525-39187635	431	13184
MEDAL-115_PLA_A	2:42274665-42274767	12	2349
MEDAL-115_PLA_A	2:45155388-45155573	145	2429
MEDAL-115_PLA_A	2:45168140-45168225	293	2572
MEDAL-115_PLA_A	2:45169746-45169879	571	14470
MEDAL-115_PLA_A	2:47796644-47796686	176	1722
MEDAL-115_PLA_A	2:51259688-51259792	34	1608
MEDAL-115_PLA_A	2:63279168-63279241	212	2789
MEDAL-115_PLA_A	2:63286099-63286255	443	8319
MEDAL-115_PLA_A	2:68547336-68547355	18	499
MEDAL-115_PLA_A	2:73147439-73147650	245	13493
MEDAL-115_PLA_A	2:73429279-73429495	1307	15030
MEDAL-115_PLA_A	2:74741692-74741773	41	7193
MEDAL-115_PLA_A	2:74742138-74742280	161	6520
MEDAL-115_PLA_A	2:75426551-75426762	57	15517
MEDAL-115_PLA_A	2:80530886-80531042	57	3218
MEDAL-115_PLA_A	2:95692268-95692576	154	11457
MEDAL-115_PLA_A	2:96990757-96990903	350	3473
MEDAL-115_PLA_A	2:98963654-98963693	197	1095
MEDAL-115_PLA_A	2:105459604-105459729	34	2821
MEDAL-115_PLA_A	2:105461025-105461188	259	8957
MEDAL-115_PLA_A	2:105480265-105480344	120	1662
MEDAL-115_PLA_A	2:115920438-115920620	130	4990
MEDAL-115_PLA_A	2:119532433-119532596	120	14449
MEDAL-115_PLA_A	2:119606572-119606824	624	17178
MEDAL-115_PLA_A	2:127534624-127534834	49	8597
MEDAL-115_PLA_A	2:135475599-135475619	25	1727
MEDAL-115_PLA_A	2:139538198-139538385	133	5993
MEDAL-115_PLA_A	2:144694302-144694576	193	13228
MEDAL-115_PLA_A	2:145281638-145281791	8	979
MEDAL-115_PLA_A	2:148601330-148601560	30	11797
MEDAL-115_PLA_A	2:157177400-157177439	69	1104
MEDAL-115_PLA_A	2:162273365-162273592	742	11398
MEDAL-115_PLA_A	2:162283540-162283604	19	637
MEDAL-115_PLA_A	2:171674901-171675030	34	2266
MEDAL-115_PLA_A	2:173099573-173099763	50	3427
MEDAL-115_PLA_A	2:173601235-173601303	25	876
MEDAL-115_PLA_A	2:175191810-175191928	143	3591
MEDAL-115_PLA_A	2:175200837-175201019	225	10555
MEDAL-115_PLA_A	2:176969110-176969168	72	2038
MEDAL-115_PLA_A	2:176987360-176987525	640	14414
MEDAL-115_PLA_A	2:177001113-177001313	397	13101
MEDAL-115_PLA_A	2:182321757-182321939	57	7527
MEDAL-115_PLA_A	2:182545460-182545649	176	7479
MEDAL-115_PLA_A	2:182548134-182548194	17	631
MEDAL-115_PLA_A	2:190044482-190044510	78	953
MEDAL-115_PLA_A	2:193059056-193059208	257	5815
MEDAL-115_PLA_A	2:198650875-198651229	543	11023
MEDAL-115_PLA_A	2:198670118-198670309	52	9312
MEDAL-115_PLA_A	2:202899972-202900043	138	1707
MEDAL-115_PLA_A	2:207139126-207139224	76	1825
MEDAL-115_PLA_A	2:207307402-207307738	223	25552
MEDAL-115_PLA_A	2:209271855-209271956	351	4400
MEDAL-115_PLA_A	2:210636241-210636498	330	15160
MEDAL-115_PLA_A	2:219846968-219847142	78	8991
MEDAL-115_PLA_A	2:219906103-219906170	21	2253
MEDAL-115_PLA_A	2:220222843-220223046	547	12602
MEDAL-115_PLA_A	2:223159721-223159912	450	10052
MEDAL-115_PLA_A	2:223163170-223163359	406	10029
MEDAL-115_PLA_A	2:223164474-223164607	111	3174
MEDAL-115_PLA_A	2:223177154-223177408	1007	16301
MEDAL-115_PLA_A	2:230578058-230578352	567	14024
MEDAL-115_PLA_A	2:237077136-237077375	820	18735
MEDAL-115_PLA_A	20:983338-983428	706	15479
MEDAL-115_PLA_A	20:3052646-3052856	36	6990
MEDAL-115_PLA_A	20:5891725-5891900	139	4043
MEDAL-115_PLA_A	20:9496571-9496792	205	15374
MEDAL-115_PLA_A	20:10198414-10198566	87	4224
MEDAL-115_PLA_A	20:17207208-17207420	74	3169
MEDAL-115_PLA_A	20:20347628-20347766	108	4765
MEDAL-115_PLA_A	20:20350476-20350610	319	4914
MEDAL-115_PLA_A	20:21082100-21082351	415	12198
MEDAL-115_PLA_A	20:21377880-21378233	1858	28164
MEDAL-115_PLA_A	20:21492744-21492879	128	6033
MEDAL-115_PLA_A	20:21496048-21496090	661	4311
MEDAL-115_PLA_A	20:21501538-21501669	22	2885
MEDAL-115_PLA_A	20:21503204-21503326	154	6577
MEDAL-115_PLA_A	20:21686195-21686464	277	14184
MEDAL-115_PLA_A	20:23029132-23029458	155	9780
MEDAL-115_PLA_A	20:24451079-24451190	316	8887
MEDAL-115_PLA_A	20:25062385-25062502	250	11524
MEDAL-115_PLA_A	20:30062886-30063172	50	4437
MEDAL-115_PLA_A	20:37356039-37356139	187	4735
MEDAL-115_PLA_A	20:37434994-37435218	90	13848
MEDAL-115_PLA_A	20:51589858-51590064	441	12922
MEDAL-115_PLA_A	20:52790247-52790308	50	1700
MEDAL-115_PLA_A	20:55500653-55500826	493	21534
MEDAL-115_PLA_A	20:56803278-56803529	2212	16714
MEDAL-115_PLA_A	20:57875313-57875673	511	15326
MEDAL-115_PLA_A	20:58180187-58180410	112	9969
MEDAL-115_PLA_A	20:61050625-61050731	82	3140
MEDAL-115_PLA_A	20:61051418-61051600	380	11488
MEDAL-115_PLA_A	20:61638138-61638315	205	13974
MEDAL-115_PLA_A	20:61809906-61810098	344	13666
MEDAL-115_PLA_A	20:62103386-62103573	74	15653
MEDAL-115_PLA_A	21:27011336-27011529	97	12472
MEDAL-115_PLA_A	21:27012510-27012528	4	599
MEDAL-115_PLA_A	21:28339297-28339493	69	11752
MEDAL-115_PLA_A	21:40984653-40984899	67	7838
MEDAL-115_PLA_A	22:19157105-19157245	167	17014
MEDAL-115_PLA_A	22:25678116-25678340	679	12714
MEDAL-115_PLA_A	22:28838482-28838637	26	6180
MEDAL-115_PLA_A	22:29876258-29876377	661	9701
MEDAL-115_PLA_A	22:37808862-37809013	466	3104
MEDAL-115_PLA_A	22:45404996-45405233	97	7437
MEDAL-115_PLA_A	22:46263003-46263191	327	13034
MEDAL-115_PLA_A	22:48970898-48971226	147	13877
MEDAL-115_PLA_A	3:2141646-2141844	869	13440
MEDAL-115_PLA_A	3:6902772-6902862	22	1307
MEDAL-115_PLA_A	3:12045330-12045578	794	5723
MEDAL-115_PLA_A	3:18467579-18467773	15	9616
MEDAL-115_PLA_A	3:27772487-27772806	385	5427
MEDAL-115_PLA_A	3:28617354-28617479	18	2397
MEDAL-115_PLA_A	3:32859094-32859273	130	5244
MEDAL-115_PLA_A	3:48699492-48699541	185	897
MEDAL-115_PLA_A	3:61550472-61550554	181	2428
MEDAL-115_PLA_A	3:68057073-68057137	102	2051
MEDAL-115_PLA_A	3:68980997-68981178	212	6902
MEDAL-115_PLA_A	3:69590899-69591103	118	16131
MEDAL-115_PLA_A	3:73674176-73674313	138	4520
MEDAL-115_PLA_A	3:121903090-121903256	135	3987
MEDAL-115_PLA_A	3:129693892-129694063	91	5225
MEDAL-115_PLA_A	3:137487036-137487133	165	3433
MEDAL-115_PLA_A	3:137489597-137489728	195	5702
MEDAL-115_PLA_A	3:139653426-139653467	252	1597
MEDAL-115_PLA_A	3:140770385-140771032	431	44071
MEDAL-115_PLA_A	3:147087195-147087332	971	8893
MEDAL-115_PLA_A	3:147106171-147106378	385	5102
MEDAL-115_PLA_A	3:148415566-148415793	172	13152
MEDAL-115_PLA_A	3:157260908-157261194	103	10577
MEDAL-115_PLA_A	3:157821797-157821934	180	4675
MEDAL-115_PLA_A	3:157824097-157824194	55	2481
MEDAL-115_PLA_A	3:164914991-164915127	285	5614
MEDAL-115_PLA_A	3:170137565-170137720	573	8050
MEDAL-115_PLA_A	3:172166368-172166379	8	154
MEDAL-115_PLA_A	3:172167637-172167710	388	6371
MEDAL-115_PLA_A	3:173114379-173114579	99	7895
MEDAL-115_PLA_A	3:179755068-179755312	578	10672
MEDAL-115_PLA_A	3:181437140-181437341	529	13941
MEDAL-115_PLA_A	3:183145779-183145855	12	708
MEDAL-115_PLA_A	3:186490222-186490308	104	1812
MEDAL-115_PLA_A	4:1396624-1396768	135	3062
MEDAL-115_PLA_A	4:4389510-4389674	69	5929
MEDAL-115_PLA_A	4:5053332-5053510	32	8004
MEDAL-115_PLA_A	4:7657504-7657656	1383	7345
MEDAL-115_PLA_A	4:20254887-20254957	40	1105
MEDAL-115_PLA_A	4:20256185-20256315	162	5261
MEDAL-115_PLA_A	4:30723122-30723232	43	4062
MEDAL-115_PLA_A	4:37978568-37978629	53	921
MEDAL-115_PLA_A	4:46391689-46391809	59	6462
MEDAL-115_PLA_A	4:54975886-54976067	341	10942
MEDAL-115_PLA_A	4:55100098-55100336	123	15474
MEDAL-115_PLA_A	4:57522078-57522267	130	7302
MEDAL-115_PLA_A	4:81106174-81106318	93	7022
MEDAL-115_PLA_A	4:81186714-81187017	240	24122
MEDAL-115_PLA_A	4:81189604-81189657	73	991
MEDAL-115_PLA_A	4:81189812-81189836	10	969
MEDAL-115_PLA_A	4:85422925-85423004	189	2409
MEDAL-115_PLA_A	4:90758638-90758729	2	1526
MEDAL-115_PLA_A	4:96470119-96470384	78	10118
MEDAL-115_PLA_A	4:107956780-107956943	70	3314
MEDAL-115_PLA_A	4:107958404-107958609	415	16821
MEDAL-115_PLA_A	4:110224063-110224294	246	11682
MEDAL-115_PLA_A	4:113444177-113444440	842	24132
MEDAL-115_PLA_A	4:122078036-122078113	41	801
MEDAL-115_PLA_A	4:122686285-122686711	800	19161
MEDAL-115_PLA_A	4:126237320-126237553	52	11754
MEDAL-115_PLA_A	4:134068673-134068913	272	17021
MEDAL-115_PLA_A	4:134069665-134069827	70	7196
MEDAL-115_PLA_A	4:142053498-142053872	244	29435
MEDAL-115_PLA_A	4:144621729-144621866	39	6348
MEDAL-115_PLA_A	4:148402400-148402556	179	5121
MEDAL-115_PLA_A	4:154710059-154710906	1584	42379
MEDAL-115_PLA_A	4:164265652-164265923	105	4942
MEDAL-115_PLA_A	4:166794111-166794212	49	1577
MEDAL-115_PLA_A	4:172734856-172735012	195	9665
MEDAL-115_PLA_A	4:174452128-174452182	93	1250
MEDAL-115_PLA_A	4:177714256-177714397	393	6259
MEDAL-115_PLA_A	4:184826534-184826692	22	6401
MEDAL-115_PLA_A	4:185939375-185939832	704	27930
MEDAL-115_PLA_A	4:185942572-185942841	292	15798
MEDAL-115_PLA_A	4:188916628-188916881	824	10984
MEDAL-115_PLA_A	5:528485-528795	203	21701
MEDAL-115_PLA_A	5:1445206-1445741	855	21971
MEDAL-115_PLA_A	5:1883098-1883385	459	22376
MEDAL-115_PLA_A	5:6449114-6449327	75	8922
MEDAL-115_PLA_A	5:7396874-7397075	752	17840
MEDAL-115_PLA_A	5:16180211-16180460	928	19438
MEDAL-115_PLA_A	5:17219278-17219358	160	1164
MEDAL-115_PLA_A	5:31194049-31194180	21	1190
MEDAL-115_PLA_A	5:35618238-35618345	19	7319
MEDAL-115_PLA_A	5:36690254-36690427	74	8525
MEDAL-115_PLA_A	5:38257578-38257688	26	3995
MEDAL-115_PLA_A	5:39425369-39425524	58	5950
MEDAL-115_PLA_A	5:42424490-42424694	64	16363
MEDAL-115_PLA_A	5:49737439-49737498	19	1064
MEDAL-115_PLA_A	5:50259992-50260210	544	16516
MEDAL-115_PLA_A	5:50679895-50679980	49	902
MEDAL-115_PLA_A	5:72529885-72530014	139	9887
MEDAL-115_PLA_A	5:72595631-72595722	205	12086
MEDAL-115_PLA_A	5:72715568-72715820	323	9768
MEDAL-115_PLA_A	5:72732202-72732285	79	2684
MEDAL-115_PLA_A	5:75377944-75378194	112	15748
MEDAL-115_PLA_A	5:75380667-75380966	299	13977
MEDAL-115_PLA_A	5:76506934-76507039	29	2045
MEDAL-115_PLA_A	5:76928689-76928898	809	11263
MEDAL-115_PLA_A	5:79330754-79330805	226	806
MEDAL-115_PLA_A	5:87986539-87986591	84	750
MEDAL-115_PLA_A	5:113391617-113391796	74	6316
MEDAL-115_PLA_A	5:115152239-115152419	34	5270
MEDAL-115_PLA_A	5:128796153-128796339	100	9551
MEDAL-115_PLA_A	5:136834289-136834498	345	13678
MEDAL-115_PLA_A	5:145713602-145713918	1245	18486
MEDAL-115_PLA_A	5:153857817-153857997	138	5657
MEDAL-115_PLA_A	5:155108744-155108865	51	1776
MEDAL-115_PLA_A	5:157098614-157098718	169	3791
MEDAL-115_PLA_A	5:166405986-166406083	38	2343
MEDAL-115_PLA_A	5:168727915-168728345	176	13011
MEDAL-115_PLA_A	5:170735853-170736027	674	9654
MEDAL-115_PLA_A	5:170740500-170740727	1031	8604
MEDAL-115_PLA_A	5:170743389-170743487	47	2315
MEDAL-115_PLA_A	5:172671356-172671511	114	9351
MEDAL-115_PLA_A	5:175298511-175298669	631	15973
MEDAL-115_PLA_A	5:176056887-176057034	64	2465
MEDAL-115_PLA_A	5:178771612-178771787	91	9649
MEDAL-115_PLA_A	5:180017515-180017638	84	3188
MEDAL-115_PLA_A	6:393441-393632	80	8333
MEDAL-115_PLA_A	6:1383460-1383617	44	2665
MEDAL-115_PLA_A	6:5996557-5996696	30	2694
MEDAL-115_PLA_A	6:6004293-6004500	227	11220
MEDAL-115_PLA_A	6:6007433-6007562	168	6005
MEDAL-115_PLA_A	6:7728804-7729063	239	10954
MEDAL-115_PLA_A	6:10415924-10416040	93	1342
MEDAL-115_PLA_A	6:10887089-10887145	18	1336
MEDAL-115_PLA_A	6:19836846-19836980	198	873
MEDAL-115_PLA_A	6:26224008-26224056	4	1501
MEDAL-115_PLA_A	6:26251652-26251823	4	635
MEDAL-115_PLA_A	6:27280110-27280294	92	19222
MEDAL-115_PLA_A	6:27463254-27463423	301	8088
MEDAL-115_PLA_A	6:28175785-28175911	162	2491
MEDAL-115_PLA_A	6:28304035-28304293	25	13722
MEDAL-115_PLA_A	6:28411358-28411485	60	5999
MEDAL-115_PLA_A	6:28557199-28557406	115	6884
MEDAL-115_PLA_A	6:28602849-28603219	226	23825
MEDAL-115_PLA_A	6:28626559-28626642	48	3228
MEDAL-115_PLA_A	6:30449076-30449260	371	14147
MEDAL-115_PLA_A	6:33161117-33161400	295	5838
MEDAL-115_PLA_A	6:36808321-36808536	154	9236
MEDAL-115_PLA_A	6:40567436-40567683	721	4932
MEDAL-115_PLA_A	6:41339338-41339407	29	5755
MEDAL-115_PLA_A	6:41605833-41606109	76	8071
MEDAL-115_PLA_A	6:41606595-41606746	57	2615
MEDAL-115_PLA_A	6:46702678-46702857	29	2003
MEDAL-115_PLA_A	6:69344401-69344641	98	11059
MEDAL-115_PLA_A	6:73331090-73331244	74	10308
MEDAL-115_PLA_A	6:80656486-80656601	127	5333
MEDAL-115_PLA_A	6:84419021-84419250	401	14819
MEDAL-115_PLA_A	6:87647214-87647418	291	13910
MEDAL-115_PLA_A	6:99295944-99296243	253	13230
MEDAL-115_PLA_A	6:100050657-100050818	322	10790
MEDAL-115_PLA_A	6:100057010-100057268	932	10727
MEDAL-115_PLA_A	6:100061275-100061454	174	11202
MEDAL-115_PLA_A	6:100067121-100067176	291	7867
MEDAL-115_PLA_A	6:100912760-100913044	727	17338
MEDAL-115_PLA_A	6:108439981-108440034	85	591
MEDAL-115_PLA_A	6:108490734-108490923	401	6513
MEDAL-115_PLA_A	6:118229569-118229816	880	18378
MEDAL-115_PLA_A	6:127840611-127840761	142	3943
MEDAL-115_PLA_A	6:133563899-133564094	248	5572
MEDAL-115_PLA_A	6:137310864-137311044	278	9179
MEDAL-115_PLA_A	6:146864941-146865200	53	12690
MEDAL-115_PLA_A	6:150286333-150286545	167	8540
MEDAL-115_PLA_A	6:150311563-150311645	98	4365
MEDAL-115_PLA_A	6:152958198-152958362	47	5055
MEDAL-115_PLA_A	6:161352027-161352286	113	8010
MEDAL-115_PLA_A	6:166421994-166422166	292	8315
MEDAL-115_PLA_A	6:166422569-166422759	457	10129
MEDAL-115_PLA_A	6:166580945-166581130	835	21995
MEDAL-115_PLA_A	6:168226618-168226714	76	2727
MEDAL-115_PLA_A	6:169654003-169654186	151	6589
MEDAL-115_PLA_A	7:1443323-1443514	211	8880
MEDAL-115_PLA_A	7:4998709-4998836	105	7070
MEDAL-115_PLA_A	7:6654741-6655051	133	12247
MEDAL-115_PLA_A	7:15726887-15726979	144	921
MEDAL-115_PLA_A	7:19147091-19147313	87	9840
MEDAL-115_PLA_A	7:19156916-19157062	105	9454
MEDAL-115_PLA_A	7:19812474-19812766	251	12031
MEDAL-115_PLA_A	7:21209333-21209501	261	3750
MEDAL-115_PLA_A	7:27135338-27135938	400	30780
MEDAL-115_PLA_A	7:27196400-27196536	70	3774
MEDAL-115_PLA_A	7:27209638-27209796	18	1745
MEDAL-115_PLA_A	7:27213776-27213899	110	3520
MEDAL-115_PLA_A	7:27224157-27224337	89	9776
MEDAL-115_PLA_A	7:27244526-27244561	608	3144
MEDAL-115_PLA_A	7:27282228-27282603	1237	28069
MEDAL-115_PLA_A	7:30722439-30722498	47	674
MEDAL-115_PLA_A	7:32339049-32339101	354	1119
MEDAL-115_PLA_A	7:33943661-33943831	69	9593
MEDAL-115_PLA_A	7:35293762-35293898	86	11019
MEDAL-115_PLA_A	7:37487668-37487801	17	3321
MEDAL-115_PLA_A	7:42267891-42267916	22	1216
MEDAL-115_PLA_A	7:43152204-43152297	259	13014
MEDAL-115_PLA_A	7:43152884-43153398	174	15752
MEDAL-115_PLA_A	7:49815379-49815532	131	10485
MEDAL-115_PLA_A	7:54609730-54609947	484	9891
MEDAL-115_PLA_A	7:64030284-64030354	77	4332
MEDAL-115_PLA_A	7:70061026-70061235	46	6403
MEDAL-115_PLA_A	7:79081403-79081620	8	2528
MEDAL-115_PLA_A	7:84814641-84814821	73	3363
MEDAL-115_PLA_A	7:87229984-87230350	70	20254
MEDAL-115_PLA_A	7:87974820-87974843	18	801
MEDAL-115_PLA_A	7:88388142-88388397	295	13757
MEDAL-115_PLA_A	7:89748233-89748469	89	5796
MEDAL-115_PLA_A	7:96622055-96622210	192	2791
MEDAL-115_PLA_A	7:96653841-96653985	276	14501
MEDAL-115_PLA_A	7:98990621-98990785	605	7137
MEDAL-115_PLA_A	7:100465034-100465220	5	3036
MEDAL-115_PLA_A	7:113723088-113723332	208	12354
MEDAL-115_PLA_A	7:119912679-119912880	48	6061
MEDAL-115_PLA_A	7:120970220-120970406	153	9105
MEDAL-115_PLA_A	7:121941923-121942179	663	8453
MEDAL-115_PLA_A	7:121950451-121950672	77	7945
MEDAL-115_PLA_A	7:121956841-121957056	1093	16636
MEDAL-115_PLA_A	7:127260269-127260560	309	10123
MEDAL-115_PLA_A	7:129423204-129423360	221	5201
MEDAL-115_PLA_A	7:136555836-136555904	14	1888
MEDAL-115_PLA_A	7:139208681-139209000	553	11622
MEDAL-115_PLA_A	7:140771679-140771867	80	2948
MEDAL-115_PLA_A	7:145813319-145813621	79	12877
MEDAL-115_PLA_A	7:151107682-151107804	114	4821
MEDAL-115_PLA_A	7:152622339-152622627	121	7926
MEDAL-115_PLA_A	7:155164984-155165150	539	12745
MEDAL-115_PLA_A	7:155166884-155167212	335	11359
MEDAL-115_PLA_A	7:155170883-155170963	168	3869
MEDAL-115_PLA_A	7:155246081-155246118	253	4159
MEDAL-115_PLA_A	7:155252791-155252822	169	2254
MEDAL-115_PLA_A	7:155259969-155260018	39	599
MEDAL-115_PLA_A	7:158936555-158936872	442	22872
MEDAL-115_PLA_A	8:689179-689274	101	7406
MEDAL-115_PLA_A	8:10916699-10916811	48	1690
MEDAL-115_PLA_A	8:23260805-23260951	151	7573
MEDAL-115_PLA_A	8:23567151-23567271	212	3022
MEDAL-115_PLA_A	8:23583982-23584148	594	9799
MEDAL-115_PLA_A	8:25902109-25902406	880	21536
MEDAL-115_PLA_A	8:25905314-25905636	321	13371
MEDAL-115_PLA_A	8:33457381-33457644	155	8615
MEDAL-115_PLA_A	8:37551987-37552263	204	12896
MEDAL-115_PLA_A	8:37823352-37823458	55	2106
MEDAL-115_PLA_A	8:38965178-38965259	336	12509
MEDAL-115_PLA_A	8:41624469-41624640	194	7142
MEDAL-115_PLA_A	8:49292828-49292926	104	5168
MEDAL-115_PLA_A	8:50824145-50824250	60	3681
MEDAL-115_PLA_A	8:55379833-55380155	545	12721
MEDAL-115_PLA_A	8:57358340-57358477	443	16763
MEDAL-115_PLA_A	8:58907650-58907933	93	14093
MEDAL-115_PLA_A	8:65488910-65489071	355	8956
MEDAL-115_PLA_A	8:65711196-65711437	35	7641
MEDAL-115_PLA_A	8:67344838-67345045	52	4740
MEDAL-115_PLA_A	8:67873338-67873517	638	14070
MEDAL-115_PLA_A	8:67874006-67874212	206	9008
MEDAL-115_PLA_A	8:67875315-67875478	187	10135
MEDAL-115_PLA_A	8:68864148-68864268	5	1911
MEDAL-115_PLA_A	8:68865045-68865090	8	455
MEDAL-115_PLA_A	8:70946886-70946996	386	6598
MEDAL-115_PLA_A	8:70984359-70984610	186	10945
MEDAL-115_PLA_A	8:72469341-72469559	253	17318
MEDAL-115_PLA_A	8:72755892-72756227	338	31398
MEDAL-115_PLA_A	8:72987582-72987803	88	5204
MEDAL-115_PLA_A	8:77586254-77586332	60	1563
MEDAL-115_PLA_A	8:77593121-77593368	248	8115
MEDAL-115_PLA_A	8:77596064-77596211	607	8743
MEDAL-115_PLA_A	8:85094899-85095025	141	7346
MEDAL-115_PLA_A	8:95246471-95246679	383	7692
MEDAL-115_PLA_A	8:98289974-98290107	197	5759
MEDAL-115_PLA_A	8:99952421-99952569	145	9517
MEDAL-115_PLA_A	8:104512684-104512945	92	7496
MEDAL-115_PLA_A	8:105479074-105479194	263	4141
MEDAL-115_PLA_A	8:109095394-109095550	59	5669
MEDAL-115_PLA_A	8:110704012-110704136	92	9364
MEDAL-115_PLA_A	8:114446942-114447538	440	41967
MEDAL-115_PLA_A	8:122651481-122651621	171	7474
MEDAL-115_PLA_A	8:143533577-143533703	46	5834
MEDAL-115_PLA_A	8:145106124-145106225	212	2183
MEDAL-115_PLA_A	9:842767-842957	682	11069
MEDAL-115_PLA_A	9:14347796-14347928	64	4608
MEDAL-115_PLA_A	9:36986294-36986446	94	12959
MEDAL-115_PLA_A	9:37037878-37037971	27	1843
MEDAL-115_PLA_A	9:74764325-74764532	575	20555
MEDAL-115_PLA_A	9:96108592-96108718	292	4815
MEDAL-115_PLA_A	9:100615182-100615363	165	10157
MEDAL-115_PLA_A	9:104249383-104249554	72	8659
MEDAL-115_PLA_A	9:108418643-108418768	60	4496
MEDAL-115_PLA_A	9:113341776-113341957	255	14514
MEDAL-115_PLA_A	9:116355880-116355985	999	3339
MEDAL-115_PLA_A	9:122318725-122318843	121	3182
MEDAL-115_PLA_A	9:133534873-133534969	1948	9101
MEDAL-115_PLA_A	9:133535771-133535902	311	6372
MEDAL-115_PLA_A	9:140051058-140051154	183	2980
MEDAL-115_PLA_A	1:4716585-4716710	20	1914
MEDAL-115_PLA_A	1:6514774-6515019	1824	13602
MEDAL-115_PLA_A	1:13910550-13910919	467	17200
MEDAL-115_PLA_A	1:14924606-14924718	149	7122
MEDAL-115_PLA_A	1:18968105-18968124	101	1220
MEDAL-115_PLA_A	1:20669933-20670002	41	1108
MEDAL-115_PLA_A	1:20879799-20879985	232	11447
MEDAL-115_PLA_A	1:22141073-22141181	112	5617
MEDAL-115_PLA_A	1:35395371-35395951	369	19907
MEDAL-115_PLA_A	1:38100639-38100806	512	7038
MEDAL-115_PLA_A	1:44873110-44873396	170	10389
MEDAL-115_PLA_A	1:44884178-44884277	84	5868
MEDAL-115_PLA_A	1:46913910-46914039	73	6360
MEDAL-115_PLA_A	1:46956341-46956623	555	12751
MEDAL-115_PLA_A	1:47697782-47698200	359	16861
MEDAL-115_PLA_A	1:47911290-47911517	139	3971
MEDAL-115_PLA_A	1:47998994-47999302	190	6183
MEDAL-115_PLA_A	1:50889053-50889278	394	11041
MEDAL-115_PLA_A	1:50892985-50893136	164	5334
MEDAL-115_PLA_A	1:57888791-57889196	167	14753
MEDAL-115_PLA_A	1:63785932-63786245	661	11339
